Name,Latitude,Longitude
X.AT4..Atlanta.IBX.Data.Center,33.8954451,-84.4536112
X365.Smyrna.Data.Center,33.8411594,-84.5224068
AT2.Atlanta.Data.Center,33.9260089,-84.48138349999999
Coloblox,33.8839485,-84.47231839999999
DC.Blox.Atlanta.ATL1.Data.Center,33.8317123,-84.3391084
INAP.Data.Cetnter,33.9265002,-84.3265121
ATL1...Atlanta.Data.Center,33.7437843,-84.581499
Atlanta.ATL11,33.7464664,-84.5796853
Google.Douglas.County.Georgia,33.7494988,-84.5847724
PwC.Lithia.Springs,33.7421904,-84.5963842
The.Keep.Campus.Atlanta.01,33.757025,-84.58944600000001
Microsoft.Douglasville,33.7318687,-84.6191522
X30122,33.7473742,-84.5402926
Level3.Atlanta,33.7548038,-84.3587301
Atlanta.ATL13,33.7554648,-84.3914602
ATL02.Campus,34.0757901,-84.26427810000001
X.ATL2..Atlanta.West.End.Data.Center,33.73389179999999,-84.42572260000001
X.ATL3..Atlanta.West.End.Data.Center,33.734499,-84.426481
EdgeConneX.ATL01,33.7293689,-84.420129
EdgeConneX.ATL02,33.7318275,-84.42362370000001
Level3.Atlanta..953.Donnelly.,33.72878840000001,-84.41912339999999
H5.Data.Center.Atlanta,33.765199,-84.3836503
X365.Alpharetta.Data.Center,34.0634302,-84.2727274
Flexential...Atlanta...Alpharetta.Data.Center,34.0871601,-84.2523456
Atlanta.ATL14,33.7615051,-84.3914096
QTS.Atlanta.Metro.DC.1..Project.Granite.,33.7759874,-84.42104909999999
ATL.Data.Centers.LLC,33.6145252,-84.46716699999999
Ascent.ATL1...Data.Center,34.0553511,-84.2717409
X.ATL1..Midtown.Atlanta.Data.Center,33.7754992,-84.3877354
X55.Marietta,33.7559437,-84.3911017
X.AT1..Atlanta.IBX.Data.Center,33.7585633,-84.3877746
ATL.1.Data.Center.2,33.775935,-84.41953099999999
Atlanta.2,33.7615051,-84.3914096
AT1,33.7559437,-84.3911017
ATL1,33.7615051,-84.3914096
Atlanta,33.7585442,-84.3878051
Atlanta.1,33.755807,-84.391066
Atlanta.3,33.7559437,-84.3911017
Windstream,33.8348363,-84.3271883
Ascent,34.0553511,-84.2717409
Lumen,33.9080539,-84.2362069
Edge.Data.Center,33.6900594,-84.51110469999999
NA.,33.7825055,-84.4219935
NA..1,33.77941310000001,-84.41989269999999
X.AT5..Atlanta.IBX.Data.Center,33.938982,-84.227186
Flexential...Atlanta...Norcross.Data.Center,33.954772,-84.1986446
Level3.Atlanta..Doraville.,33.9080539,-84.2362069
ATL1...Atlanta.Data.Center.1,34.0361703,-84.0638073
Suwanee.Data.Center.2,34.0370725,-84.05762879999999
Suwanee.Data.Center.1,33.9638753,-84.11984679999999
Sago.Networks.Atlanta,33.93710009999999,-84.1481847
AT5,33.938982,-84.227186
ATL1.1,34.0361703,-84.0638073
Keep.2.0.Atlanta.North.Campus,34.1148866,-84.7937688
ATL.IV,33.4954672,-84.66803480000002
Stack.ATL02..Lithia.Springs.Data.Center.,33.7601809,-84.6015135
Rock.House.Road.Data.Center.Site,33.7489292,-84.6090919
Flexential...Atlanta...Douglasville.Data.Center,33.73192890000001,-84.6156451
T5.Atlanta,33.763433,-84.60498
DC.Blox.Atlanta.West,33.73398600000001,-84.61522599999999
Lithia.Springs.Campus..ATL5.,33.7473742,-84.5402926
ATL.III,33.7590823,-84.61537589999999
Vantage.Data.Center,33.730679,-84.6055861
ATL5,33.7473742,-84.5402926
Douglas.Waldrop,33.7264774,-84.8243251
Polk.Place,33.7315797,-84.8151128
Blankenship.Property,33.7429835,-84.7813102
QTS.Atlanta.2,33.447514,-84.5222234
Rita,33.517901,-84.579483
Project.Excalibur,33.4447231,-84.526338
Southeast.Data.Center.Campus,33.4480999,-84.51838289999999
X.ATL4..South.Fulton.Data.Center,33.7505191,-84.54825629999999
Stack.Atlanta.ATL01.Expansion,34.0765351,-84.2445972
Microsoft.Data.Center.Palmetto,33.5202656,-84.6257797
Edged.Atlanta,33.8081407,-84.4523243
Microsoft.East.Point,33.6473361,-84.5193134
Microsoft,33.5669023,-84.7116448
Fairburn.Technology.Center,33.5327011,-84.58927589999999
X0.Rocky.Creek,33.4020645,-84.2251644
DC.Blox.Atlanta.East,33.6921115,-84.0472728
Rockdale.Technology.Park.1,33.687134,-84.052139
Stack,33.7603953,-84.60156599999999
Project.Steamboat,33.6248226,-84.5620576
